英語,日本語,品詞,例文英語１,例文日本語１,例文英語2,例文日本語2,例文英語3,例文日本語3,例文英語4,例文日本語4,last_learned_date,mistake_count,correct_count
advertising,"広告,宣伝",名詞,The company spends a lot of money on advertising.,その会社は広告に多額の費用を費やしている。,She works in the advertising industry.,彼女は広告業界で働いている。,The new advertising campaign has been very successful.,新しい広告キャンペーンは大変な成功を収めている。,The book is about the history of advertising.,その本は広告の歴史について書かれている。,,0,0
twin,"双子,二卵性双生児",名詞,She has a twin sister.,彼女には双子の姉妹がいる。,The two brothers are identical twins.,その二人の兄弟は一卵性双生児だ。,The city is twinned with a town in France.,その市はフランスの町と姉妹都市提携を結んでいる。,The two towers are twin structures.,その二つの塔は双子の建造物だ。,,0,0
illegal,"違法の,不正な",形容詞,It is illegal to drive without a license.,無免許で運転するのは違法だ。,He was arrested for illegal parking.,彼は違法駐車で逮捕された。,The company was accused of illegal business practices.,その会社は違法な商慣行で告発された。,The illegal trade in drugs is a major problem.,麻薬の違法取引は大きな問題だ。,,0,0
depend,"依存する,頼る",動詞,The country's economy depends on tourism.,その国の経済は観光に依存している。,You can depend on me to help you.,私に助けを求めることができる。,It depends on the weather whether we go or not.,私たちが行くかどうかは天気による。,The price of the product depends on the quality.,製品の価格は品質による。,,0,0
entertainment,"娯楽,楽しみ",名詞,The city has a lot of entertainment to offer.,その都市にはたくさんの娯楽がある。,The hotel provides evening entertainment for its guests.,そのホテルは宿泊客に夜の娯楽を提供している。,She works in the entertainment industry.,彼女はエンターテインメント業界で働いている。,The movie is a light entertainment.,その映画は軽い娯楽作品だ。,,0,0
laugh,笑う/笑い声,"動詞,名詞",She laughed at his joke.,彼女は彼の冗談に笑った。,He has a very loud laugh.,彼はとても大きな笑い声だ。,Don't laugh at me.,私を笑わないで。,The movie was so funny that I couldn't stop laughing.,その映画はとても面白くて笑いが止まらなかった。,,0,0
tail,"尾,尾部",名詞,The dog was wagging its tail.,犬は尻尾を振っていた。,The cat has a long tail.,その猫は長い尻尾を持っている。,The tail of the airplane was damaged in the accident.,飛行機の尾部は事故で損傷した。,I can't make head or tail of what he is saying.,彼が言っていることの頭も尻尾も分からない。,,0,0
poll,"投票,選挙",名詞,The results of the poll will be announced tomorrow.,投票の結果は明日発表される。,The company conducted a poll to find out what customers think.,その会社は顧客がどう思っているかを知るために世論調査を行った。,She is leading in the polls.,彼女は世論調査でリードしている。,The election will be held next week.,選挙は来週行われる。,,0,0
quit,"やめる,中止する",動詞,I have decided to quit my job.,私は仕事を辞めることにした。,She quit smoking last year.,彼女は昨年禁煙した。,"Don't quit, you're almost there.",やめないで、もうすぐそこだから。,He quit the team after he had an argument with the coach.,彼はコーチと口論した後、チームを辞めた。,,0,0
bottom,"底,底辺",名詞,The keys are at the bottom of my bag.,鍵は私のバッグの底にある。,The company started from the bottom and is now very successful.,その会社は底辺から始まり、今では大変な成功を収めている。,She is at the bottom of the class.,彼女はクラスで最下位だ。,The bottom line is that we need to make a profit.,要するに、私たちは利益を上げる必要がある。,,0,0
evolution,"進化,発展",名詞,The book is about the evolution of the human species.,その本は人類の進化について書かれている。,The company has undergone a rapid evolution in recent years.,その会社は近年、急速な発展を遂げている。,The theory of evolution is a cornerstone of modern biology.,進化論は現代生物学の基礎だ。,The new product is an evolution of the previous model.,新しい製品は以前のモデルの進化版だ。,,0,0
involvement,"関与,関わり合い",名詞,His involvement in the project was crucial to its success.,彼のプロジェクトへの関与がその成功に不可欠だった。,The police are investigating her involvement in the crime.,警察は彼女の犯罪への関与を捜査している。,She has a deep involvement in the local community.,彼女は地域社会に深く関わっている。,The company encourages employee involvement in decision-making.,その会社は意思決定への従業員の関与を奨励している。,,0,0
doubt,"疑い,疑問",名詞,I have no doubt that he is telling the truth.,彼が真実を語っていることに疑いはない。,There is some doubt about the accuracy of the information.,その情報の正確性にはいくつかの疑問がある。,She is in doubt about what to do.,彼女は何をすべきか迷っている。,"When in doubt, ask for help.",迷ったときは助けを求めなさい。,,0,0
